Support Name, Line Number, Support Room, Room Description, Level, Support Type, Support Data Sheet, Data Page, Wrap, Approved, Fire Rating, Building, Designer
/1HFB14SV0030,/1DVF4402GL-,/1HFB1404ZL-,Cable deck, 14, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB14SV0029,/1DVF4402GL-,/1HFB1404ZL-,Cable deck, 14,  Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,5,No,Yes, No, 1HF Building, S. Pinnock
/1HFB14SV0028,/1DVF4402GL-,/1HFB1404ZL-,Cable deck, 14, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB14SV0027,/1DVF4402GL-,/1HFB1404ZL-,Cable deck, 14, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB14SV0026,/1DVF4402GL-,/1HFB1404ZL-,Cable deck, 14, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB14SV0018,/1DVF4408GL-,/1HFB1401ZL-,Firefighting Lobby, 14, Support Type 7 - Fire Damper Wall Support 2,45062_MWG_DR_00080_40008_Support_Type_7,2,No,Yes, No, 1HF Building, S. Pinnock
/1HFB14SV0045,/1DVF4412GL-,/1HFB1403ZL-,HVAC Room, 14, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB14SV0014,/1DVF4412GL-,/1HFB1403ZL-,HVAC Room, 14, Support Type 6 - Vertical Duct Floor Support,45062_MWG_DR_00080_70001_Support_Type_6,2,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0035,/1DVF4502GL-,/1HFB1901ZL-,Firefighting Lobby, 19, Support Type 9 - Vertical Duct Wall Support,45062_MWG_DR_00080_40009_Support_Type_9,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0034,/1DVF4502GL-,/1HFB1901ZL-,Firefighting Lobby, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0033,/1DVF4502GL-,/1HFB1901ZL-,Firefighting Lobby, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0030,/1DVF4502GL-,/1HFB1901ZL-,Firefighting Lobby, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,Yes,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0075,/1DVF4502GL-,/1HFB1901ZL-,Firefighting Lobby, 19, Support Type 7 - Fire Damper Wall Support 2,45062_MWG_DR_00080_40008_Support_Type_7,2,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0029,/1DVF4502GL-,/1HFB1903ZL-,HVAC Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0032,/1DVF4502GL-,/1HFB1903ZL-,HVAC Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0077,/1DVF4502GL-,/1HFB1903ZL-,HVAC Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0078,/1DVF4502GL-,/1HFB1903ZL-,HVAC Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0079,/1DVF4502GL-,/1HFB1903ZL-,HVAC Room, 19,  Support Type 5 - Wall Support Cantilever,45062_MWG_DR_00080_40005_Support_Type_5,2,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0080,/1DVF4502GL-,/1HFB1903ZL-,HVAC Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0031,/1DVF4502GL-,/1HFB1903ZL-,HVAC Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0037,/1DVF4505GL-,/1HFB1904ZL-,I&C Relay Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0040,/1DVF4505GL-,/1HFB1904ZL-,I&C Relay Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0039,/1DVF4505GL-,/1HFB1904ZL-,I&C Relay Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB19SV0038,/1DVF4505GL-,/1HFB1904ZL-,I&C Relay Room, 19, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
