Plate Reference, East(X), North (Y), Height (Z), Support Name, Room, Level, Support Type, Dtata Sheet, Page, Fire Rated, Designer
/1HFA14SV0066/1, 559880.00, 154430.00, 4810.00, /1HFA14SV0066, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, E, D. Rothwell
/1HFA14SV0066/2, 559880.00, 153650.00, 4810.00, /1HFA14SV0066, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, E, D. Rothwell
/1HFA14SV0037/1, 558390.00, 154430.00, 4810.00, /1HFA14SV0037, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, E, D. Rothwell
/1HFA14SV0037/2, 558390.00, 153650.00, 4810.00, /1HFA14SV0037, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, E, D. Rothwell
/1HFA14SV0065/1, 556890.00, 154430.00, 4810.00, /1HFA14SV0065, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, E, D. Rothwell
/1HFA14SV0065/2, 556890.00, 153650.00, 4810.00, /1HFA14SV0065, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, E, D. Rothwell
/1HFA14SV0036/1, 555390.00, 154430.00, 4810.00, /1HFA14SV0036, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, E, D. Rothwell
/1HFA14SV0036/2, 555390.00, 153650.00, 4810.00, /1HFA14SV0036, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, E, D. Rothwell
/1HFA14SV0067/1, 553880.00, 154430.00, 4810.00, /1HFA14SV0067, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, E, D. Rothwell
/1HFA14SV0067/2, 553880.00, 153650.00, 4810.00, /1HFA14SV0067, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, E, D. Rothwell
/1HFA14SV0035/1, 552566.00, 154430.00, 4810.00, /1HFA14SV0035, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, E, D. Rothwell
/1HFA14SV0035/2, 552566.00, 153650.00, 4810.00, /1HFA14SV0035, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, E, D. Rothwell
/1HFA14SV0041/1, 562490.00, 168525.00, 8690.00, /1HFA14SV0041, /1HFA1404ZL-, 14, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA14SV0041/2, 562490.00, 169625.00, 8690.00, /1HFA14SV0041, /1HFA1404ZL-, 14, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA14SV0042/1, 561290.00, 169650.00, 8690.00, /1HFA14SV0042, /1HFA1404ZL-, 14, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA14SV0042/2, 561290.00, 168500.00, 8690.00, /1HFA14SV0042, /1HFA1404ZL-, 14, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA14SV0062/1, 559965.00, 169650.00, 8690.00, /1HFA14SV0062, /1HFA1404ZL-, 14, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
