Plate Name, Support Name, Plate Length, Plate Width, Plate Thickness, Line Number, Support Room, Room Description, Level, Support Type, Data Sheet, Sheet, Designer
/1HFA10SV0069/2, /1HFA10SV0069, 300, 150, 10, /1DVF1302GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0009/1, /1HFA10SV0009, 300, 150, 10, /1DVF1312GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0009/2, /1HFA10SV0009, 300, 150, 10, /1DVF1312GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0008/1, /1HFA10SV0008, 300, 150, 10, /1DVF1312GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0008/2, /1HFA10SV0008, 300, 150, 10, /1DVF1312GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0061/1, /1HFA10SV0061, 300, 150, 10, /1DVF1312GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0061/2, /1HFA10SV0061, 300, 150, 10, /1DVF1312GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0003/1, /1HFA10SV0003, 300, 150, 10, /1DVF1312GL-, /1HFA1005ZL-, Backup Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0003/2, /1HFA10SV0003, 300, 150, 10, /1DVF1312GL-, /1HFA1005ZL-, Backup Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0004/1, /1HFA10SV0004, 300, 150, 10, /1DVF1312GL-, /1HFA1005ZL-, Backup Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0004/2, /1HFA10SV0004, 300, 150, 10, /1DVF1312GL-, /1HFA1005ZL-, Backup Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0007/1, /1HFA10SV0007, 300, 150, 10, /1DVF1312GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0007/2, /1HFA10SV0007, 300, 150, 10, /1DVF1312GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0006/1, /1HFA10SV0006, 300, 150, 10, /1DVF1312GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0006/2, /1HFA10SV0006, 300, 150, 10, /1DVF1312GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0070/1, /1HFA10SV0070, 300, 150, 10, /1DVF1312GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0070/2, /1HFA10SV0070, 300, 150, 10, /1DVF1312GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
