Support Name, Line Number,Support Type, Support Data Sheet, Data Page,Room, Level, Wrap, Fire Rating, AFC, Approved, A, B, C, D, E, F
/1HFA10SV0072, /1DVF3313GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 615, 450, 800, 500
/1HFA10SV0025, /1DVF3313GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 610, 450, 795, 500
/1HFA10SV0024, /1DVF3313GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 610, 450, 795, 500
/1HFA10SV0023, /1DVF3313GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 610, 450, 795, 500
/1HFA10SV0086, /1DVF3315GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 615, 450, 800, 1050
/1HFA10SV0026, /1DVF3315GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 615, 450, 800, 1050
/1HFA10SV0077, /1DVF3317GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 523, 450, 708, 500
/1HFA10SV0033, /1DVF3317GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 805, 450, 990, 500
/1HFA10SV0032, /1DVF3317GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 805, 450, 990, 500
/1HFA10SV0031, /1DVF3317GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 810, 450, 995, 500
/1HFA10SV0030, /1DVF3317GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 810, 450, 995, 500
/1HFA10SV0076, /1DVF3321GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 605, 450, 790, 500
/1HFA10SV0027, /1DVF3321GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 605, 450, 790, 500
/1HFA10SV0028, /1DVF3325GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 605, 450, 790, 500
/1HFA10SV0073, /1DVF3325GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 605, 450, 790, 500
/1HFA10SV0029, /1DVF3327GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 605, 450, 790, 500
/1HFA10SV0074, /1DVF3327GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 605, 450, 790, 500
/1HFA10SV0036, /1DVF3332GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1005ZL-, 10, No, No, No, Yes, 300, 250, 780, 350, 1015, 350
/1HFA10SV0035, /1DVF3332GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1005ZL-, 10, No, No, No, Yes, 300, 250, 760, 350, 995, 350
/1HFA10SV0034, /1DVF3332GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1005ZL-, 10, No, No, No, Yes, 300, 250, 760, 350, 995, 350
/1HFB10SV0027, /1DVF4310GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1004ZL-, 10, No, No, No, Yes, 150, 150, 495, 200, 630, 380
/1HFB10SV0102, /1DVF4310GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1004ZL-, 10, No, No, No, Yes, 150, 150, 395, 200, 530, 200
