Ref. No., Name, Type, Part No., Line Number, Detailed Desc., Inlet L., Inlet W., Outlet L., Outlet W., Length, Insulation, Level, Room, Room Description, Building, Penetration Reference, Material, Fire Rating, Approved for Cons/Fab
20442/21196,NA, STRT, 7, /1DVF4201GL-, Rectangular Straight, 250, 300, 250, 300, 1200, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, Stainless Steel 304L, No, Yes
28634/25125,NA, GASK, 8, /1DVF4201GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, NA, No, No
20442/21197,NA, STRT, 9, /1DVF4201GL-, Rectangular Straight, 250, 300, 250, 300, 1200, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, Stainless Steel 304L, No, Yes
20442/21197,/1DVF4201GLB0001T003, BRCO, 9, /1DVF4201GL-, Rectangular Boot Branch Connector, 250, 300, 250, 300, 75, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA,  Stainless Steel 304L, No, Yes
28634/25126,NA, GASK, 10, /1DVF4201GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, NA, No, No
20442/21198,NA, STRT, 11, /1DVF4201GL-, Rectangular Straight, 250, 300, 250, 300, 1200, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, Stainless Steel 304L, No, Yes
28634/25127,NA, GASK, 12, /1DVF4201GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, NA, No, No
20442/21199,NA, STRT, 13, /1DVF4201GL-, Rectangular Straight, 250, 300, 250, 300, 1200, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, Stainless Steel 304L, No, Yes
20442/21199,/1DVF4201GLB0001T004, BRCO, 13, /1DVF4201GL-, Rectangular Boot Branch Connector, 250, 300, 250, 300, 75, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA,  Stainless Steel 304L, No, Yes
28634/25128,NA, GASK, 14, /1DVF4201GL-, Rectangular Gasket, 300, 250, 300, 250, 3, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, NA, No, No
20442/22043,/1DVF4205RA-, DAMP, 15, /1DVF4201GL-, Volume Control Dampers, 250, 300, 250, 300, 200, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, Stainless Steel 304L, No, No
20442/5123,/1DVF4201BH-, MESH, 16, /1DVF4201GL-, Extract Air Grille - Single Deflection with Damper, 200, 200, 200, 200, 10, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, Extruded Aluminium, No, No
28634/25141,NA, GASK, 17, /1DVF4201GL-, Rectangular Gasket, 200, 200, 200, 200, 3, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, NA, No, No
20442/5126,/1DVF4202BH-, MESH, 18, /1DVF4201GL-, Extract Air Grille - Single Deflection with Damper, 200, 200, 200, 200, 10, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, Extruded Aluminium, No, No
28634/25142,NA, GASK, 19, /1DVF4201GL-, Rectangular Gasket, 200, 200, 200, 200, 3, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, NA, No, No
20442/5129,/1DVF4203BH-, MESH, 20, /1DVF4201GL-, Extract Air Grille - Single Deflection with Damper, 200, 200, 200, 200, 10, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, Extruded Aluminium, No, No
28634/25143,NA, GASK, 21, /1DVF4201GL-, Rectangular Gasket, 200, 200, 200, 200, 3, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, NA, No, No
20442/5132,/1DVF4204BH-, MESH, 22, /1DVF4201GL-, Extract Air Grille - Single Deflection with Damper, 200, 200, 200, 200, 10, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, Extruded Aluminium, No, No
28634/25144,NA, GASK, 23, /1DVF4201GL-, Rectangular Gasket, 200, 200, 200, 200, 3, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, NA, No, No
28634/25129,NA, GASK, 24, /1DVF4201GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, NA, No, No
20442/58110,NA, STRT, 25, /1DVF4201GL-, Rectangular Straight, 250, 300, 250, 300, 1200, 0, 04, /1HFB0404ZL- /1HFB0405ZL-, Cable deck, 1HF Building, NA, Stainless Steel 304L, No, Yes
28634/25130,NA, GASK, 26, /1DVF4201GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, NA, No, No
20442/58112,NA, STRT, 27, /1DVF4201GL-, Rectangular Straight, 250, 300, 250, 300, 1200, 0, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, Stainless Steel 304L, No, Yes
28634/25131,NA, GASK, 28, /1DVF4201GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, NA, No, No
20442/58115,NA, STRT, 29, /1DVF4201GL-, Rectangular Straight, 250, 300, 250, 300, 1200, 0, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, Stainless Steel 304L, No, Yes
28634/25132,NA, GASK, 30, /1DVF4201GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, NA, No, No
20442/58116,NA, STRT, 31, /1DVF4201GL-, Rectangular Straight, 250, 300, 250, 300, 1200, 0, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, Stainless Steel 304L, No, Yes
28634/25133,NA, GASK, 32, /1DVF4201GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, NA, No, No
20442/58119,NA, STRT, 33, /1DVF4201GL-, Rectangular Straight, 250, 300, 250, 300, 1200, 0, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, Stainless Steel 304L, No, Yes
28634/25134,NA, GASK, 34, /1DVF4201GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, NA, No, No
20442/58120,NA, STRT, 35, /1DVF4201GL-, Rectangular Straight, 250, 300, 250, 300, 1200, 0, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, Stainless Steel 304L, No, Yes
28634/25135,NA, GASK, 36, /1DVF4201GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, NA, No, No
20442/58123,NA, BEND, 37, /1DVF4201GL-, Rectangular 90 degree Radiused Bend, 300, 250, 300, 250, 350, 0, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, Stainless Steel 304L, No, Yes
28634/25136,NA, GASK, 38, /1DVF4201GL-, Rectangular Gasket, 300, 250, 300, 250, 3, 0, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, NA, No, No
20442/58124,NA, OFST, 39, /1DVF4201GL-, Rectangular Mitred Offset, 250, 300, 250, 300, 650, 0, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, Stainless Steel 304L, No, Yes
28634/25137,NA, GASK, 40, /1DVF4201GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, NA, No, No
20442/58125,NA, STRT, 41, /1DVF4201GL-, Rectangular Straight, 250, 300, 250, 300, 941, 90, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, Stainless Steel 304L, No, Yes
28634/25138,NA, GASK, 42, /1DVF4201GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 04, /1HFB0405ZL-, Cable deck  Battery Room Roof, 1HF Building, NA, NA, No, No
20442/58128,NA, STRT, 43, /1DVF4201GL-, Rectangular Straight, 250, 300, 250, 300, 700, 90, 04, /1HFB0405ZL- /1HFB1005ZL-, Cable deck  Battery Room Roof, 1HF Building, /1HFB1001DBTV003, Stainless Steel 304L, No, Yes
