Flange Reference, Duct Reference, PDMS Duct Type, Line Number, Flange Height, Duct Length A (mm), Duct Width B (mm), Level
20442/2345/50B, 20442/2345, STRT, /1DVF1302GL-, 50, 800, 500, 10
20442/19042/50A, 20442/19042, STRT, /1DVF1302GL-, 50, 500, 800, 10
20442/19042/50B, 20442/19042, STRT, /1DVF1302GL-, 50, 500, 800, 10
20442/19042/40C, 20442/19042, BRCO, /1DVF1302GL-, 40, 800, 500, 10
20442/19045/50A, 20442/19045, STRT, /1DVF1302GL-, 50, 800, 500, 10
20442/19045/50B, 20442/19045, STRT, /1DVF1302GL-, 50, 800, 500, 10
20442/19043/50A, 20442/19043, STRT, /1DVF1302GL-, 50, 800, 500, 10
20442/19043/40C, 20442/19043, BRCO, /1DVF1302GL-, 40, 800, 500, 10
20442/19050/40A, 20442/19050, STRT, /1DVF1312GL-, 40, 350, 250, 10
20442/19050/40B, 20442/19050, STRT, /1DVF1312GL-, 40, 350, 250, 10
20442/19052/40A, 20442/19052, STRT, /1DVF1312GL-, 40, 350, 250, 10
20442/19052/40B, 20442/19052, STRT, /1DVF1312GL-, 40, 350, 250, 10
20442/30094/40A, 20442/30094, BEND, /1DVF1312GL-, 40, 350, 250, 10
20442/30094/40B, 20442/30094, BEND, /1DVF1312GL-, 40, 350, 250, 10
20442/30096/40A, 20442/30096, STRT, /1DVF1312GL-, 40, 350, 250, 10
20442/30096/40B, 20442/30096, STRT, /1DVF1312GL-, 40, 350, 250, 10
20442/30099/40A, 20442/30099, STRT, /1DVF1312GL-, 40, 350, 250, 10
20442/30099/40B, 20442/30099, STRT, /1DVF1312GL-, 40, 350, 250, 10
20442/30102/40A, 20442/30102, STRT, /1DVF1312GL-, 40, 350, 250, 10
20442/30102/40B, 20442/30102, STRT, /1DVF1312GL-, 40, 350, 250, 10
20442/30095/40A, 20442/30095, BEND, /1DVF1312GL-, 40, 350, 250, 10
20442/30095/40B, 20442/30095, BEND, /1DVF1312GL-, 40, 350, 250, 10
20442/19805/40A, 20442/19805, STRT, /1DVF1312GL-, 40, 350, 250, 10
20442/19805/40B, 20442/19805, STRT, /1DVF1312GL-, 40, 350, 250, 10
20442/19063/40A, 20442/19063, STRT, /1DVF1312GL-, 40, 250, 350, 10
20442/19063/40B, 20442/19063, STRT, /1DVF1312GL-, 40, 250, 350, 10
20442/19097/40A, 20442/19097, STRT, /1DVF1312GL-, 40, 250, 200, 10
20442/19097/40B, 20442/19097, STRT, /1DVF1312GL-, 40, 250, 200, 10
20442/19097/40C, 20442/19097, BRCO, /1DVF1312GL-, 40, 200, 200, 10
20442/19098/40A, 20442/19098, STRT, /1DVF1312GL-, 40, 200, 250, 10
20442/19098/40B, 20442/19098, STRT, /1DVF1312GL-, 40, 200, 250, 10
20442/19100/40A, 20442/19100, STRT, /1DVF1312GL-, 40, 200, 250, 10
20442/19100/40C, 20442/19100, BRCO, /1DVF1312GL-, 40, 200, 200, 10
20442/56183/40A, 20442/56183, STRT, /1DVF1312GL-, 40, 250, 350, 10
20442/56183/40B, 20442/56183, STRT, /1DVF1312GL-, 40, 250, 350, 10
20442/56186/40A, 20442/56186, STRT, /1DVF1312GL-, 40, 350, 250, 10
20442/56186/40B, 20442/56186, STRT, /1DVF1312GL-, 40, 350, 250, 10
20442/56189/40A, 20442/56189, BEND, /1DVF1312GL-, 40, 350, 250, 10
20442/56189/40B, 20442/56189, BEND, /1DVF1312GL-, 40, 350, 250, 10
20442/56190/40A, 20442/56190, STRT, /1DVF1312GL-, 40, 350, 250, 10
20442/56190/40B, 20442/56190, STRT, /1DVF1312GL-, 40, 350, 250, 10
20442/56190/40C, 20442/56190, BRCO, /1DVF1312GL-, 40, 150, 100, 10
20442/63874/40A, 20442/63874, TAPE, /1DVF1312GL-, 40, 350, 250, 10
20442/63874/40B, 20442/63874, TAPE, /1DVF1312GL-, 40, 350, 200, 10
20442/56192/40A, 20442/56192, BEND, /1DVF1312GL-, 40, 350, 200, 10
20442/56192/40B, 20442/56192, BEND, /1DVF1312GL-, 40, 350, 200, 10
20442/56193/40A, 20442/56193, STRT, /1DVF1312GL-, 40, 350, 200, 10
20442/56193/40B, 20442/56193, STRT, /1DVF1312GL-, 40, 350, 200, 10
20442/56194/40A, 20442/56194, STRT, /1DVF1312GL-, 40, 350, 200, 10
20442/56194/40B, 20442/56194, STRT, /1DVF1312GL-, 40, 350, 200, 10
20442/56198/40A, 20442/56198, STRT, /1DVF1312GL-, 40, 350, 200, 10
20442/56198/40B, 20442/56198, STRT, /1DVF1312GL-, 40, 350, 200, 10
20442/56202/40A, 20442/56202, STRT, /1DVF1312GL-, 40, 350, 200, 10
20442/56202/40C, 20442/56202, BRCO, /1DVF1312GL-, 40, 250, 200, 10
20442/56202/40D, 20442/56202, BRCO, /1DVF1312GL-, 40, 200, 200, 10
20442/19093/40A, 20442/19093, STRT, /1DVF1315GL-, 40, 200, 200, 10
20442/19093/40C, 20442/19093, BRCO, /1DVF1315GL-, 40, 200, 200, 10
20442/47308/40A, 20442/47308, BEND, /1DVF1320GL-, 40, 150, 100, 10
20442/47308/40B, 20442/47308, BEND, /1DVF1320GL-, 40, 150, 100, 10
20442/47310/40A, 20442/47310, STRT, /1DVF1320GL-, 40, 150, 100, 10
20442/47310/40B, 20442/47310, STRT, /1DVF1320GL-, 40, 150, 100, 10
20442/47393/40A, 20442/47393, OFST, /1DVF1320GL-, 40, 100, 150, 10
20442/47393/40B, 20442/47393, OFST, /1DVF1320GL-, 40, 100, 150, 10
20442/47319/40A, 20442/47319, STRT, /1DVF1320GL-, 40, 150, 100, 10
20442/47319/40B, 20442/47319, STRT, /1DVF1320GL-, 40, 150, 100, 10
36826/4284/40A, 36826/4284, STRT, /1DVF1325GL-, 40, 200, 200, 14
36826/4284/40B, 36826/4284, STRT, /1DVF1325GL-, 40, 200, 200, 14
20442/19116/40A, 20442/19116, STRT, /1DVF1325GL-, 40, 200, 200, 14
20442/19116/40B, 20442/19116, STRT, /1DVF1325GL-, 40, 200, 200, 14
20442/25885/50A, 20442/25885, STRT, /1DVF1401GL-, 50, 650, 700, 14
20442/25885/50B, 20442/25885, STRT, /1DVF1401GL-, 50, 650, 700, 14
20442/36737/50A, 20442/36737, STRT, /1DVF1401GL-, 50, 650, 700, 14
20442/36737/50B, 20442/36737, STRT, /1DVF1401GL-, 50, 650, 700, 14
20442/25886/50A, 20442/25886, BEND, /1DVF1401GL-, 50, 700, 650, 14
20442/25886/50B, 20442/25886, BEND, /1DVF1401GL-, 50, 700, 650, 14
20442/30937/50A, 20442/30937, STRT, /1DVF1401GL-, 50, 700, 650, 14
20442/30937/50B, 20442/30937, STRT, /1DVF1401GL-, 50, 700, 650, 14
20442/25887/50A, 20442/25887, BEND, /1DVF1401GL-, 50, 650, 700, 14
20442/25887/50B, 20442/25887, BEND, /1DVF1401GL-, 50, 650, 700, 14
20442/30046/50A, 20442/30046, STRT, /1DVF1401GL-, 50, 650, 700, 14
20442/30046/50B, 20442/30046, STRT, /1DVF1401GL-, 50, 650, 700, 14
28634/5197/50A, 28634/5197, STRT, /1DVF1401GL-, 50, 650, 700, 14
28634/5197/50B, 28634/5197, STRT, /1DVF1401GL-, 50, 650, 700, 14
20442/25888/50A, 20442/25888, BEND, /1DVF1401GL-, 50, 700, 650, 14
20442/25888/50B, 20442/25888, BEND, /1DVF1401GL-, 50, 700, 650, 14
20442/23727/50A, 20442/23727, STRT, /1DVF1403GL-, 50, 1000, 600, 14
20442/23727/50B, 20442/23727, STRT, /1DVF1403GL-, 50, 1000, 600, 14
28634/4162/50A, 28634/4162, BEND, /1DVF1403GL-, 50, 600, 1000, 14
28634/4162/50B, 28634/4162, BEND, /1DVF1403GL-, 50, 600, 1000, 14
28634/4168/50A, 28634/4168, STRT, /1DVF1403GL-, 50, 600, 1000, 14
28634/4168/50B, 28634/4168, STRT, /1DVF1403GL-, 50, 600, 1000, 14
20442/18061/50A, 20442/18061, STRT, /1DVF1403GL-, 50, 600, 1000, 14
20442/18061/50B, 20442/18061, STRT, /1DVF1403GL-, 50, 600, 1000, 14
